group,service_ids,n_sites,n_boxes,n_trips,occupancy_s,transport_energy_kwh,relay_service_s,relay_energy_kwh,drones_A,drones_B,drones_C,batteries_A,batteries_B,batteries_C,relay_drones,relay_modules
1,S001;S010;S002;S003;S006;S004;S005;S008;S007;S009;S012;S013;S014;S015,14,77,25,45349.9,70.367035,11448.2,4.702102,4,2,2,6,4,4,2,3
2,S011,1,3,1,1188.42,1.073934,0,0,0,1,0,0,1,0,0,0
