partition,gap,total_resources,imbalance,drones,batteries,relay_drones,relay_modules
"{B01,B03,B04,B05,B08,B09,B11,B12}|{B02,B06}|{B07,B10}",8,38,0.916855,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B11,B12}|{B04,B06,B08}|{B07,B10}",8,38,0.921177,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",6,6
"{B01,B03,B05,B09,B11,B12}|{B02,B06,B08}|{B04,B07,B10}",8,38,0.921341,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B07,B08,B09,B10,B12}|{B02,B06}|{B04,B11}",8,38,0.926572,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B07,B08,B10,B11,B12}|{B02,B06}|{B04,B09}",8,38,0.929295,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B09,B11,B12}|{B02,B10}|{B04,B06,B07,B08}",8,38,0.935264,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",6,6
"{B01,B03,B05,B07,B08,B09,B10}|{B02,B11}|{B04,B06,B12}",8,38,0.93613,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 4, ""A"": 7}",6,6
"{B01,B03,B05,B09,B10,B12}|{B02,B11}|{B04,B06,B07,B08}",8,38,0.939035,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",6,6
"{B01,B02,B04,B05,B06,B09,B10,B12}|{B03}|{B07,B08,B11}",8,38,0.939117,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B04,B05,B06,B07,B08,B09,B11}|{B03}|{B10,B12}",8,38,0.939138,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B03,B04,B05,B06,B09,B10,B12}|{B02,B08}|{B07,B11}",8,38,0.941967,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B04,B05,B06,B07,B08,B09,B10}|{B03}|{B11,B12}",8,38,0.942523,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B04,B05,B06,B08,B09,B12}|{B03}|{B07,B10,B11}",8,38,0.943292,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 5}",5,6
"{B01,B02,B04,B05,B06,B07,B08,B10,B11}|{B03}|{B09,B12}",8,38,0.945029,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B04,B05,B06,B08,B11,B12}|{B03}|{B07,B09,B10}",8,38,0.945598,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B03,B04,B05,B09,B11,B12}|{B02,B06}|{B07,B08,B10}",8,38,0.945704,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B04,B05,B08,B09,B11}|{B06,B12}|{B07,B10}",8,38,0.951541,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B02,B05,B06,B08,B09,B11,B12}|{B03}|{B04,B07,B10}",8,38,0.953417,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B02,B04,B05,B08,B09,B11,B12}|{B03}|{B06,B07,B10}",8,38,0.954969,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B05,B07,B08,B11}|{B02,B03,B04,B06,B09,B10}|{B12}",8,38,0.956056,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B05,B08,B10,B11,B12}|{B04,B06}|{B07,B09}",8,38,0.96027,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",6,6
"{B01,B05,B07,B08,B09,B10,B12}|{B02,B04,B11}|{B03,B06}",8,38,0.961921,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B09,B11,B12}|{B02,B06}|{B04,B07,B10}",8,38,0.963454,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B04,B05,B06,B08,B09,B10}|{B03}|{B07,B11,B12}",8,38,0.965096,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B04,B05,B06,B07,B08,B09,B11,B12}|{B02,B10}|{B03}",8,38,0.970308,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B07,B08,B09,B11}|{B02,B04,B06,B10}|{B03,B12}",8,38,0.970515,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B04,B05,B06,B09,B11}|{B07,B10}|{B08,B12}",8,38,0.971328,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B05,B07,B08,B09,B11,B12}|{B03}|{B04,B06,B10}",8,38,0.971661,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B07,B09,B10}|{B02,B03,B04,B06,B08,B11}|{B12}",8,38,0.97422,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B05,B08,B11,B12}|{B02,B03,B04,B06,B09,B10}|{B07}",8,38,0.974356,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B03,B04,B05,B06,B08,B09,B10,B12}|{B02}|{B07,B11}",8,38,0.974678,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B05,B07,B08,B10,B11}|{B02,B04,B06,B09}|{B03,B12}",8,38,0.97511,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B05,B07,B09,B11}|{B02,B03,B04,B06,B08,B10}|{B12}",8,38,0.975314,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B05,B09,B10,B12}|{B02,B03,B04,B06,B08,B11}|{B07}",8,38,0.975314,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B05,B09,B11,B12}|{B02,B03,B04,B06,B08,B10}|{B07}",8,38,0.975314,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B10,B12}|{B04,B06}|{B07,B08,B11}",8,38,0.975561,"{""C"": 3, ""B"": 3, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",6,6
"{B01,B02,B05,B07,B08,B09,B10,B12}|{B03}|{B04,B06,B11}",8,38,0.975784,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B03,B05,B09,B11,B12}|{B02,B06}|{B04,B07,B08,B10}",8,38,0.97599,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B09,B11,B12}|{B02,B10}|{B04,B06,B07}",8,38,0.977608,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",6,6
"{B01,B02,B05,B07,B08,B10,B11,B12}|{B03}|{B04,B06,B09}",8,38,0.977616,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B04,B05,B06,B07,B08,B10,B11,B12}|{B02,B09}|{B03}",8,38,0.977637,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B09,B12}|{B04,B06}|{B07,B10,B11}",8,38,0.978078,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 5}",6,6
"{B01,B02,B04,B05,B06,B09,B11}|{B03}|{B07,B08,B10,B12}",8,38,0.979676,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B05,B08,B11,B12}|{B04,B06}|{B07,B09,B10}",8,38,0.980245,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 5, ""A"": 6}",6,6
"{B01,B02,B03,B05,B06,B08,B09,B11}|{B04,B07,B10}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B02,B03,B05,B06,B08,B09,B10,B12}|{B04,B11}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B06,B08,B09,B11,B12}|{B04,B10}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B06,B08,B10,B11,B12}|{B04,B09}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B07,B08,B09,B10}|{B04,B06,B11}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B05,B07,B08,B09,B11}|{B04,B06,B10}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B05,B07,B08,B10,B11}|{B04,B06,B09}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B05,B08,B09,B10}|{B04,B06,B07,B11}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B05,B09,B11}|{B04,B06,B07,B08,B10}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B02,B03,B05,B08,B11,B12}|{B04,B06,B09,B10}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B10,B12}|{B04,B06,B08,B11}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B11,B12}|{B04,B06,B08,B10}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B10,B12}|{B04,B06,B11}|{B07,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B11,B12}|{B04,B06,B10}|{B07,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B05,B10,B11,B12}|{B04,B06,B09}|{B07,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B02,B03,B05,B07,B08,B09,B10,B12}|{B04,B11}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B07,B08,B09,B11,B12}|{B04,B10}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B07,B08,B10,B11,B12}|{B04,B09}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B08,B09,B10,B12}|{B04,B07,B11}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B03,B05,B09,B11,B12}|{B04,B07,B08,B10}|{B06}",8,38,0.98087,"{""C"": 4, ""B"": 3, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B02,B05,B08,B09,B11}|{B03,B04,B06,B07,B10}|{B12}",8,38,0.98087,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B05,B08,B09,B10,B12}|{B03}|{B04,B06,B07,B11}",8,38,0.98087,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B02,B05,B08,B09,B11}|{B03}|{B04,B06,B07,B10,B12}",8,38,0.98087,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 4, ""A"": 7}",5,6
"{B01,B02,B05,B09,B11,B12}|{B03}|{B04,B06,B07,B08,B10}",8,38,0.98087,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 4, ""A"": 6}",5,6
"{B01,B03,B05,B06,B07,B08,B09,B10}|{B02,B04,B11}|{B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B03,B05,B06,B08,B09,B10,B12}|{B02,B04,B11}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B06,B08,B09,B11,B12}|{B02,B04,B10}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B06,B08,B11,B12}|{B02,B04,B09,B10}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B06,B09,B10,B12}|{B02,B04,B08,B11}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B06,B09,B11,B12}|{B02,B04,B08,B10}|{B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B06,B09,B10,B12}|{B02,B04,B11}|{B07,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B06,B09,B11,B12}|{B02,B04,B10}|{B07,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B07,B08,B09}|{B02,B04,B06,B10,B11}|{B12}",8,38,0.98087,"{""C"": 2, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 5}",5,6
"{B01,B03,B05,B07,B08,B10}|{B02,B04,B06,B09,B11}|{B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B07,B09,B10}|{B02,B04,B06,B11}|{B08,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B07,B09,B11}|{B02,B04,B06,B10}|{B08,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B09,B10}|{B02,B04,B06,B07,B11}|{B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B09,B11}|{B02,B04,B06,B07,B10}|{B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B10}|{B02,B04,B06,B07,B09,B11}|{B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B11}|{B02,B04,B06,B07,B09,B10}|{B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08}|{B02,B04,B06,B07,B09,B10,B11}|{B12}",8,38,0.98087,"{""C"": 2, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 5}",5,6
"{B01,B03,B05,B09,B10}|{B02,B04,B06,B07,B08,B11}|{B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B11}|{B02,B04,B06,B07,B08,B10}|{B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09}|{B02,B04,B06,B07,B08,B10,B11}|{B12}",8,38,0.98087,"{""C"": 2, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 5}",5,6
"{B01,B03,B05,B08,B09,B10}|{B02,B04,B06,B11,B12}|{B07}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B09,B10}|{B02,B04,B06,B11}|{B07,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B09,B11}|{B02,B04,B06,B10,B12}|{B07}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B09,B11}|{B02,B04,B06,B10}|{B07,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B11}|{B02,B04,B06,B09,B10,B12}|{B07}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B11}|{B02,B04,B06,B09,B10}|{B07,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B08,B12}|{B02,B04,B06,B09,B10,B11}|{B07}",8,38,0.98087,"{""C"": 2, ""A"": 4, ""B"": 5}","{""C"": 4, ""A"": 6, ""B"": 6}",5,6
"{B01,B03,B05,B09,B10}|{B02,B04,B06,B08,B11,B12}|{B07}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B10}|{B02,B04,B06,B08,B11}|{B07,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B11}|{B02,B04,B06,B08,B10,B12}|{B07}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B11}|{B02,B04,B06,B08,B10}|{B07,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B12}|{B02,B04,B06,B08,B10,B11}|{B07}",8,38,0.98087,"{""C"": 2, ""A"": 4, ""B"": 5}","{""C"": 4, ""A"": 6, ""B"": 6}",5,6
"{B01,B03,B05,B10,B11,B12}|{B02,B04,B06,B08,B09}|{B07}",8,38,0.98087,"{""C"": 2, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B03,B05,B10,B12}|{B02,B04,B06,B08,B09,B11}|{B07}",8,38,0.98087,"{""C"": 2, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B03,B05,B11,B12}|{B02,B04,B06,B08,B09,B10}|{B07}",8,38,0.98087,"{""C"": 2, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B03,B05,B09,B10}|{B02,B04,B06,B11,B12}|{B07,B08}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B10}|{B02,B04,B06,B11}|{B07,B08,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B11}|{B02,B04,B06,B10,B12}|{B07,B08}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B11}|{B02,B04,B06,B10}|{B07,B08,B12}",8,38,0.98087,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 5, ""A"": 7}",5,6
"{B01,B03,B05,B09,B12}|{B02,B04,B06,B10,B11}|{B07,B08}",8,38,0.98087,"{""C"": 2, ""A"": 4, ""B"": 5}","{""C"": 4, ""A"": 6, ""B"": 6}",5,6
"{B01,B03,B05,B10,B12}|{B02,B04,B06,B09,B11}|{B07,B08}",8,38,0.98087,"{""C"": 2, ""B"": 5, ""A"": 4}","{""C"": 4, ""B"": 6, ""A"": 6}",5,6
"{B01,B03,B05,B07,B08,B09,B10}|{B02,B04,B11,B12}|{B06}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B03,B05,B07,B08,B09,B10}|{B02,B04,B11}|{B06,B12}",8,38,0.98087,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",5,6
"{B01,B03,B05,B07,B08,B09,B12}|{B02,B04,B10,B11}|{B06}",8,38,0.98087,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",5,6
"{B01,B03,B05,B07,B08,B10,B12}|{B02,B04,B09,B11}|{B06}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B07,B09,B10,B12}|{B02,B04,B11}|{B06,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B07,B09,B11,B12}|{B02,B04,B10}|{B06,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B09,B10,B12}|{B02,B04,B07,B11}|{B06}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B09,B11,B12}|{B02,B04,B07,B10}|{B06}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B10,B12}|{B02,B04,B07,B09,B11}|{B06}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B11,B12}|{B02,B04,B07,B09,B10}|{B06}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B12}|{B02,B04,B07,B09,B10,B11}|{B06}",8,38,0.98087,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",5,6
"{B01,B03,B05,B09,B10,B12}|{B02,B04,B07,B08,B11}|{B06}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B09,B11,B12}|{B02,B04,B07,B08,B10}|{B06}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B09,B12}|{B02,B04,B07,B08,B10,B11}|{B06}",8,38,0.98087,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",5,6
"{B01,B03,B05,B08,B09,B10,B12}|{B02,B04,B11}|{B06,B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B09,B11,B12}|{B02,B04,B10}|{B06,B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B08,B11,B12}|{B02,B04,B09,B10}|{B06,B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B09,B10,B12}|{B02,B04,B08,B11}|{B06,B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B09,B11,B12}|{B02,B04,B08,B10}|{B06,B07}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B09,B10,B12}|{B02,B04,B11}|{B06,B07,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
"{B01,B03,B05,B09,B11,B12}|{B02,B04,B10}|{B06,B07,B08}",8,38,0.98087,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 5, ""A"": 6}",5,6
