partition,gap,total_resources,imbalance,drones,batteries,relay_drones,relay_modules
"{B01,B04,B05,B08,B12}|{B02,B03,B06,B07,B09,B10,B11}",8,36,0.8,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",4,4
"{B01,B04,B05,B09,B10,B12}|{B02,B03,B06,B07,B08,B11}",8,36,0.8,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,4
"{B01,B04,B05,B09,B11,B12}|{B02,B03,B06,B07,B08,B10}",8,36,0.8,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,4
"{B01,B04,B05,B09,B12}|{B02,B03,B06,B07,B08,B10,B11}",8,36,0.8,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",4,4
"{B01,B04,B07,B08,B10}|{B02,B03,B05,B06,B09,B11,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B04,B07,B08}|{B02,B03,B05,B06,B09,B10,B11,B12}",8,36,0.8,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B04,B07,B09,B10}|{B02,B03,B05,B06,B08,B11,B12}",8,36,0.8,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 7}",4,4
"{B01,B04,B07,B10}|{B02,B03,B05,B06,B08,B09,B11,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B04,B07,B11}|{B02,B03,B05,B06,B08,B09,B10,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B04,B08}|{B02,B03,B05,B06,B07,B09,B10,B11,B12}",8,36,0.8,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B04,B09,B10}|{B02,B03,B05,B06,B07,B08,B11,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B04,B10}|{B02,B03,B05,B06,B07,B08,B09,B11,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B04,B11}|{B02,B03,B05,B06,B07,B08,B09,B10,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B04}|{B02,B03,B05,B06,B07,B08,B09,B10,B11,B12}",8,36,0.8,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B05,B06,B07,B08,B09,B10,B11,B12}|{B02,B03,B04}",8,36,0.8,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,4
"{B01,B05,B06,B07,B08,B09,B10}|{B02,B03,B04,B11,B12}",8,36,0.8,"{""C"": 4, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 7}",4,4
"{B01,B05,B06,B07,B08,B09,B11,B12}|{B02,B03,B04,B10}",8,36,0.8,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,4
"{B01,B05,B06,B07,B08,B10,B11,B12}|{B02,B03,B04,B09}",8,36,0.8,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,4
"{B01,B05,B06,B07,B08,B11,B12}|{B02,B03,B04,B09,B10}",8,36,0.8,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,4
"{B01,B05,B06,B07,B09,B10,B11,B12}|{B02,B03,B04,B08}",8,36,0.8,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,4
"{B01,B05,B06,B07,B09,B10,B12}|{B02,B03,B04,B08,B11}",8,36,0.8,"{""C"": 4, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 6}",4,4
"{B01,B05,B06,B07,B09,B11,B12}|{B02,B03,B04,B08,B10}",8,36,0.8,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 6}",4,4
"{B01,B05,B06,B08,B09,B12}|{B02,B03,B04,B07,B10,B11}",8,36,0.8,"{""C"": 4, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 4}",4,4
"{B01,B05,B07,B10,B11,B12}|{B02,B03,B04,B06,B08,B09}",8,36,0.8,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 6}",4,4
"{B01,B05,B08,B09,B10,B11,B12}|{B02,B03,B04,B06,B07}",8,36,0.8,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 6}",4,4
"{B01,B05,B08,B10,B11,B12}|{B02,B03,B04,B06,B07,B09}",8,36,0.8,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 6}",4,4
"{B01,B05,B09,B10,B11,B12}|{B02,B03,B04,B06,B07,B08}",8,36,0.8,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 6}",4,4
"{B01,B07,B08,B10}|{B02,B03,B04,B05,B06,B09,B11,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B07,B08}|{B02,B03,B04,B05,B06,B09,B10,B11,B12}",8,36,0.8,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B07,B09,B10}|{B02,B03,B04,B05,B06,B08,B11,B12}",8,36,0.8,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 4, ""C"": 5, ""A"": 7}",4,4
"{B01,B07,B10}|{B02,B03,B04,B05,B06,B08,B09,B11,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B07,B11}|{B02,B03,B04,B05,B06,B08,B09,B10,B12}",8,36,0.8,"{""B"": 3, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B06,B07,B08,B09,B10,B11}|{B03,B04,B05,B12}",9,36,0.6,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 6, ""A"": 7}",3,3
"{B01,B02,B07,B09,B10,B11,B12}|{B03,B04,B05,B06,B08}",9,36,0.6,"{""B"": 3, ""C"": 4, ""A"": 6}","{""B"": 4, ""C"": 5, ""A"": 8}",3,3
"{B01,B02,B03,B06,B07,B08,B09,B10,B11,B12}|{B04,B05}",9,36,1.0,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 6, ""B"": 5, ""A"": 8}",3,3
"{B01,B02,B03,B06,B07,B08,B09,B10,B11}|{B04,B05,B12}",9,36,1.0,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 6, ""B"": 5, ""A"": 7}",3,3
"{B01,B02,B04,B06,B07,B08,B09,B10,B11}|{B03,B05,B12}",9,36,1.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 6, ""A"": 7}",3,3
"{B01,B02,B04,B07,B09,B10,B11,B12}|{B03,B05,B06,B08}",9,36,1.0,"{""B"": 3, ""C"": 4, ""A"": 6}","{""B"": 4, ""C"": 5, ""A"": 8}",3,3
"{B01,B08,B09,B10}|{B02,B03,B04,B05,B06,B07,B11,B12}",9,36,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 5, ""A"": 7}",3,3
"{B01,B08,B09,B11}|{B02,B03,B04,B05,B06,B07,B10,B12}",9,36,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 5, ""A"": 7}",3,3
"{B01,B09,B10,B11}|{B02,B03,B04,B05,B06,B07,B08,B12}",9,36,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 5, ""A"": 7}",3,3
"{B01,B10,B11}|{B02,B03,B04,B05,B06,B07,B08,B09,B12}",9,36,1.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 5, ""A"": 7}",3,3
"{B01,B02,B03,B08,B10}|{B04,B05,B06,B07,B09,B11,B12}",9,37,0.0,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B07,B08,B09,B10}|{B03,B05,B06,B11,B12}",9,37,0.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B07,B08,B09,B11}|{B03,B05,B06,B10,B12}",9,37,0.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B07,B08,B10,B11}|{B03,B05,B06,B09,B12}",9,37,0.0,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B07,B08,B10}|{B02,B05,B06,B09,B11,B12}",9,37,0.0,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B04,B05,B08}|{B02,B03,B06,B07,B09,B10,B11,B12}",9,37,0.0,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B04,B05,B09}|{B02,B03,B06,B07,B08,B10,B11,B12}",9,37,0.0,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B05,B07,B09}|{B02,B03,B04,B06,B08,B10,B11,B12}",9,37,0.0,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 6}",4,4
"{B01,B05,B07,B10,B11}|{B02,B03,B04,B06,B08,B09,B12}",9,37,0.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B05,B07,B11}|{B02,B03,B04,B06,B08,B09,B10,B12}",9,37,0.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B05,B07,B12}|{B02,B03,B04,B06,B08,B09,B10,B11}",9,37,0.0,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 6, ""B"": 7}",4,4
"{B01,B05,B08,B10,B11}|{B02,B03,B04,B06,B07,B09,B12}",9,37,0.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B05,B09,B10,B11}|{B02,B03,B04,B06,B07,B08,B12}",9,37,0.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B05,B10,B11}|{B02,B03,B04,B06,B07,B08,B09,B12}",9,37,0.0,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B02,B03,B08}|{B04,B05,B06,B07,B09,B10,B11,B12}",9,37,0.2,"{""C"": 3, ""A"": 6, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B02,B03,B09}|{B04,B05,B06,B07,B08,B10,B11,B12}",9,37,0.2,"{""C"": 3, ""A"": 6, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B02,B03,B11}|{B04,B05,B06,B07,B08,B09,B10,B12}",9,37,0.2,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B06,B09,B10}|{B03,B05,B07,B08,B11,B12}",9,37,0.2,"{""C"": 4, ""B"": 2, ""A"": 5}","{""C"": 6, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B06,B09,B11}|{B03,B05,B07,B08,B10,B12}",9,37,0.2,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 4, ""C"": 6, ""A"": 7}",4,4
"{B01,B02,B04,B07,B08,B11}|{B03,B05,B06,B09,B10,B12}",9,37,0.2,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B07,B09,B10}|{B03,B05,B06,B08,B11,B12}",9,37,0.2,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B07,B09,B11}|{B03,B05,B06,B08,B10,B12}",9,37,0.2,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B08,B09,B10}|{B03,B05,B06,B07,B11,B12}",9,37,0.2,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B08,B09,B11}|{B03,B05,B06,B07,B10,B12}",9,37,0.2,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B04,B09,B10,B11}|{B03,B05,B06,B07,B08,B12}",9,37,0.2,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B06,B08}|{B02,B05,B07,B09,B10,B11,B12}",9,37,0.2,"{""C"": 3, ""A"": 6, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B03,B04,B06,B10}|{B02,B05,B07,B08,B09,B11,B12}",9,37,0.2,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B06,B11}|{B02,B05,B07,B08,B09,B10,B12}",9,37,0.2,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B07,B08}|{B02,B05,B06,B09,B10,B11,B12}",9,37,0.2,"{""C"": 3, ""A"": 6, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B03,B04,B07,B10}|{B02,B05,B06,B08,B09,B11,B12}",9,37,0.2,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B07,B11}|{B02,B05,B06,B08,B09,B10,B12}",9,37,0.2,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B09,B10}|{B02,B05,B06,B07,B08,B11,B12}",9,37,0.2,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B12}|{B02,B05,B06,B07,B08,B09,B10,B11}",9,37,0.2,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 8, ""B"": 5}",4,4
"{B01,B03,B07,B08,B10}|{B02,B04,B05,B06,B09,B11,B12}",9,37,0.2,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B07,B09,B10}|{B02,B04,B05,B06,B08,B11,B12}",9,37,0.2,"{""C"": 3, ""B"": 4, ""A"": 6}","{""C"": 5, ""B"": 4, ""A"": 7}",4,4
"{B01,B05,B06,B08,B09}|{B02,B03,B04,B07,B10,B11,B12}",9,37,0.2,"{""C"": 4, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 7, ""B"": 4}",4,4
"{B01,B02,B03,B08,B11}|{B04,B05,B06,B07,B09,B10,B12}",9,37,0.4,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B06}|{B02,B05,B07,B08,B09,B10,B11,B12}",9,37,0.4,"{""C"": 3, ""A"": 6, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B03,B04,B08,B12}|{B02,B05,B06,B07,B09,B10,B11}",9,37,0.4,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 8, ""B"": 5}",4,4
"{B01,B03,B04,B08}|{B02,B05,B06,B07,B09,B10,B11,B12}",9,37,0.4,"{""C"": 3, ""A"": 6, ""B"": 3}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B03,B04,B10}|{B02,B05,B06,B07,B08,B09,B11,B12}",9,37,0.4,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B04,B11}|{B02,B05,B06,B07,B08,B09,B10,B12}",9,37,0.4,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B03,B07,B08,B10,B12}|{B02,B04,B05,B06,B09,B11}",9,37,0.4,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B03,B07,B08,B12}|{B02,B04,B05,B06,B09,B10,B11}",9,37,0.4,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 8, ""B"": 5}",4,4
"{B01,B03,B07,B09,B10,B12}|{B02,B04,B05,B06,B08,B11}",9,37,0.4,"{""C"": 3, ""B"": 4, ""A"": 5}","{""C"": 5, ""B"": 4, ""A"": 8}",4,4
"{B01,B03,B07,B10,B12}|{B02,B04,B05,B06,B08,B09,B11}",9,37,0.4,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B03,B07,B11,B12}|{B02,B04,B05,B06,B08,B09,B10}",9,37,0.4,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B03,B09,B10,B12}|{B02,B04,B05,B06,B07,B08,B11}",9,37,0.4,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B04,B05,B08,B10}|{B02,B03,B06,B07,B09,B11,B12}",9,37,0.4,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B04,B05,B12}|{B02,B03,B06,B07,B08,B09,B10,B11}",9,37,0.4,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 6}",4,4
"{B01,B05,B06,B07,B08,B11}|{B02,B03,B04,B09,B10,B12}",9,37,0.4,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B05,B07,B08}|{B02,B03,B04,B06,B09,B10,B11,B12}",9,37,0.4,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 6}",4,4
"{B01,B05,B07,B10}|{B02,B03,B04,B06,B08,B09,B11,B12}",9,37,0.4,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B05,B08,B09,B10,B11}|{B02,B03,B04,B06,B07,B12}",9,37,0.4,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B02,B07,B08,B09,B10}|{B03,B04,B05,B06,B11,B12}",9,37,0.6,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B07,B08,B09,B11}|{B03,B04,B05,B06,B10,B12}",9,37,0.6,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B02,B07,B08,B10,B11}|{B03,B04,B05,B06,B09,B12}",9,37,0.6,"{""B"": 3, ""C"": 4, ""A"": 5}","{""B"": 5, ""C"": 5, ""A"": 7}",4,4
"{B01,B03,B08,B12}|{B02,B04,B05,B06,B07,B09,B10,B11}",9,37,0.6,"{""C"": 3, ""A"": 5, ""B"": 3}","{""C"": 5, ""A"": 8, ""B"": 5}",4,4
"{B01,B03,B10,B12}|{B02,B04,B05,B06,B07,B08,B09,B11}",9,37,0.6,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B03,B11,B12}|{B02,B04,B05,B06,B07,B08,B09,B10}",9,37,0.6,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B05,B06,B08,B12}|{B02,B03,B04,B07,B09,B10,B11}",9,37,0.6,"{""C"": 4, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",4,4
"{B01,B05,B06,B09,B12}|{B02,B03,B04,B07,B08,B10,B11}",9,37,0.6,"{""C"": 4, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 5}",4,4
"{B01,B05,B10}|{B02,B03,B04,B06,B07,B08,B09,B11,B12}",9,37,0.6,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B05,B11}|{B02,B03,B04,B06,B07,B08,B09,B10,B12}",9,37,0.6,"{""B"": 4, ""C"": 3, ""A"": 5}","{""B"": 6, ""C"": 4, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B08}|{B09,B10,B11,B12}",9,37,0.8,"{""C"": 2, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 7}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B09}|{B08,B10,B11,B12}",9,37,0.8,"{""C"": 2, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 7}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B10}|{B08,B09,B11,B12}",9,37,0.8,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 7, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B06,B07,B11}|{B08,B09,B10,B12}",9,37,0.8,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 7, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B06,B10}|{B07,B08,B09,B11,B12}",9,37,0.8,"{""C"": 2, ""B"": 4, ""A"": 5}","{""C"": 4, ""B"": 7, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B06}|{B07,B08,B09,B10,B11,B12}",9,37,0.8,"{""C"": 2, ""A"": 5, ""B"": 4}","{""C"": 4, ""A"": 7, ""B"": 7}",4,4
"{B01,B02,B03,B04,B05,B07,B08,B11}|{B06,B09,B10,B12}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 6, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B07,B08,B12}|{B06,B09,B10,B11}",9,37,0.8,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 7}",4,4
"{B01,B02,B03,B04,B05,B07,B09,B10}|{B06,B08,B11,B12}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 6, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B07,B09,B11}|{B06,B08,B10,B12}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 6, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B07,B09,B12}|{B06,B08,B10,B11}",9,37,0.8,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 7}",4,4
"{B01,B02,B03,B04,B05,B07,B10,B12}|{B06,B08,B09,B11}",9,37,0.8,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 7, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B07,B11,B12}|{B06,B08,B09,B10}",9,37,0.8,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 7, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B08,B09}|{B06,B07,B10,B11,B12}",9,37,0.8,"{""C"": 3, ""A"": 5, ""B"": 4}","{""C"": 5, ""A"": 7, ""B"": 5}",4,4
"{B01,B02,B03,B04,B05,B08,B10,B11}|{B06,B07,B09,B12}",9,37,0.8,"{""C"": 3, ""B"": 4, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B08,B11}|{B06,B07,B09,B10,B12}",9,37,0.8,"{""C"": 3, ""B"": 4, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B09,B10}|{B06,B07,B08,B11,B12}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 6, ""A"": 7}",4,4
"{B01,B02,B03,B04,B05,B10,B12}|{B06,B07,B08,B09,B11}",9,37,0.8,"{""C"": 3, ""B"": 4, ""A"": 4}","{""C"": 5, ""B"": 7, ""A"": 6}",4,4
"{B01,B02,B03,B04,B05,B12}|{B06,B07,B08,B09,B10,B11}",9,37,0.8,"{""C"": 3, ""A"": 4, ""B"": 4}","{""C"": 5, ""A"": 6, ""B"": 7}",4,4
"{B01,B02,B03,B04,B06,B07,B08,B09,B10,B12}|{B05,B11}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B02,B03,B04,B06,B07,B08,B09,B10}|{B05,B11,B12}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B03,B04,B06,B07,B08,B09,B11,B12}|{B05,B10}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B02,B03,B04,B06,B07,B08,B09,B11}|{B05,B10,B12}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B03,B04,B06,B07,B08,B10,B11,B12}|{B05,B09}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B02,B03,B04,B06,B07,B08,B10,B11}|{B05,B09,B12}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B03,B04,B06,B07,B08,B11,B12}|{B05,B09,B10}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
"{B01,B02,B03,B04,B06,B07,B08,B11}|{B05,B09,B10,B12}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 6}","{""C"": 5, ""B"": 5, ""A"": 7}",4,4
"{B01,B02,B03,B04,B06,B07,B09,B10,B12}|{B05,B08,B11}",9,37,0.8,"{""C"": 3, ""B"": 3, ""A"": 5}","{""C"": 5, ""B"": 5, ""A"": 8}",4,4
