start,end,distance_diff_m,terrain_max_diff_m,cruise_diff_m,up_diff_m,down_diff_m
S008,S001,0.0,0.0,0.0,0.0,0.0
S008,S002,0.0,0.0,0.0,0.0,0.0
S008,S003,0.0,0.0,0.0,0.0,0.0
S008,S004,0.0,0.0,0.0,0.0,0.0
S008,S005,0.0,0.0,0.0,0.0,0.0
S008,S006,0.0,0.0,0.0,0.0,0.0
S008,S007,0.0,0.0,0.0,0.0,0.0
S008,S009,0.0,0.0,0.0,0.0,0.0
S008,S010,0.0,0.0,0.0,0.0,0.0
S008,S011,0.0,0.0,0.0,0.0,0.0
S008,S012,0.0,0.0,0.0,0.0,0.0
S008,S013,0.0,0.0,0.0,0.0,0.0
S008,S014,0.0,0.0,0.0,0.0,0.0
S008,S015,0.0,0.0,0.0,0.0,0.0
S009,O01,0.0,0.0,0.0,0.0,0.0
S009,S001,0.0,0.0,0.0,0.0,0.0
S009,S002,0.0,0.0,0.0,0.0,0.0
S009,S003,0.0,0.0,0.0,0.0,0.0
S009,S004,0.0,0.0,0.0,0.0,0.0
S009,S005,0.0,0.0,0.0,0.0,0.0
S009,S006,0.0,0.0,0.0,0.0,0.0
S009,S007,0.0,0.0,0.0,0.0,0.0
S009,S008,0.0,0.0,0.0,0.0,0.0
S009,S010,0.0,0.0,0.0,0.0,0.0
S009,S011,0.0,0.0,0.0,0.0,0.0
S009,S012,0.0,0.0,0.0,0.0,0.0
S009,S013,0.0,0.0,0.0,0.0,0.0
S009,S014,0.0,0.0,0.0,0.0,0.0
S009,S015,0.0,0.0,0.0,0.0,0.0
S010,O01,0.0,0.0,0.0,0.0,0.0
S010,S001,0.0,0.0,0.0,0.0,0.0
S010,S002,0.0,0.0,0.0,0.0,0.0
S010,S003,0.0,0.0,0.0,0.0,0.0
S010,S004,0.0,0.0,0.0,0.0,0.0
S010,S005,0.0,0.0,0.0,0.0,0.0
S010,S006,0.0,0.0,0.0,0.0,0.0
S010,S007,0.0,0.0,0.0,0.0,0.0
S010,S008,0.0,0.0,0.0,0.0,0.0
S010,S009,0.0,0.0,0.0,0.0,0.0
S010,S011,0.0,0.0,0.0,0.0,0.0
S010,S012,0.0,0.0,0.0,0.0,0.0
S010,S013,0.0,0.0,0.0,0.0,0.0
S010,S014,0.0,0.0,0.0,0.0,0.0
S010,S015,0.0,0.0,0.0,0.0,0.0
S011,O01,0.0,0.0,0.0,0.0,0.0
S011,S001,0.0,0.0,0.0,0.0,0.0
S011,S002,0.0,0.0,0.0,0.0,0.0
S011,S003,0.0,0.0,0.0,0.0,0.0
S011,S004,0.0,0.0,0.0,0.0,0.0
S011,S005,0.0,0.0,0.0,0.0,0.0
S011,S006,0.0,0.0,0.0,0.0,0.0
S011,S007,0.0,0.0,0.0,0.0,0.0
S011,S008,0.0,0.0,0.0,0.0,0.0
S011,S009,0.0,0.0,0.0,0.0,0.0
S011,S010,0.0,0.0,0.0,0.0,0.0
S011,S012,0.0,0.0,0.0,0.0,0.0
S011,S013,0.0,0.0,0.0,0.0,0.0
S011,S014,0.0,0.0,0.0,0.0,0.0
S011,S015,0.0,0.0,0.0,0.0,0.0
S012,O01,0.0,0.0,0.0,0.0,0.0
S012,S001,0.0,0.0,0.0,0.0,0.0
