reserve,priority,feasible,infeasible_sites,trips,energy_kwh,operation_s,flight_s
0.1,时间_架次_能耗,True,,18,59.13226032599277,32776.5167822769,19288.516782276904
0.15,时间_架次_能耗,True,,18,59.13226032599277,32776.5167822769,19288.516782276904
0.2,时间_架次_能耗,True,,18,59.13226032599277,32776.5167822769,19288.516782276904
0.25,时间_架次_能耗,True,,19,61.165654738860425,34560.15844562943,20640.158445629426
0.3,时间_架次_能耗,True,,20,67.2287315236232,36586.686323583126,22126.686323583122
0.2,架次_能耗_时间,True,,18,59.13226032599277,32776.5167822769,19288.516782276904
0.2,架次_时间_能耗,True,,18,59.13226032599277,32776.5167822769,19288.516782276904
0.2,能耗_架次_时间,True,,19,59.03487773780201,34440.48875202747,20562.488752027475
