site,model,box_ids,mass_kg,volume_m3,flight_s,preparation_s,handover_s,operation_s,energy_kwh,soc_pct,trip_id
S001,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-FOD-01;S001-FOD-02;S001-HYG-01;S001-HYG-02,76,0.231,618.1750458620229,570,504,1692.175045862023,2.9175880955868267,63.530148805164664,Q1-001
S001,C,S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-03,78,0.163,618.1750458620229,480,396,1494.175045862023,2.995775804904669,62.552802438691636,Q1-002
S002,C,S002-MED-01;S002-WAT-01;S002-FOD-01;S002-FOD-02;S002-HYG-01,39,0.13,1231.8421660245544,450,360,2041.8421660245544,5.171043231673501,35.361959604081235,Q1-003
S002,C,S002-WAT-02;S002-WAT-03;S002-WAT-04,42,0.081,1231.8421660245544,390,288,1909.8421660245544,5.24877105844914,34.39036176938575,Q1-004
S003,C,S003-MED-01;S003-WAT-01;S003-FOD-01;S003-FOD-02;S003-HYG-01,39,0.13,1560.1777110992603,450,360,2370.1777110992603,5.209523875650587,34.88095155436767,Q1-005
S003,C,S003-WAT-02;S003-WAT-03;S003-WAT-04,42,0.081,1560.1777110992603,390,288,2238.1777110992603,5.2886135592185735,33.89233050976783,Q1-006
S004,B,S004-MED-01;S004-WAT-01,17,0.039,1351.641663352524,360,210,1921.641663352524,2.576474743025623,35.588131424359425,Q1-007
S004,C,S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,42,0.117,1425.0547187724458,420,324,2169.054718772446,5.518436217734267,31.019547278321657,Q1-008
S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59,0.156,1001.1887154914712,480,396,1877.1887154914712,4.222137373445114,47.223282831936075,Q1-009
S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59,0.156,685.5526244866224,480,396,1561.5526244866223,2.5979362904386822,67.52579636951648,Q1-010
S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45,0.129,1097.6006984106912,450,360,1907.6006984106912,3.4110038084433194,57.36245239445851,Q1-011
S008,C,S008-MED-01;S008-WAT-01;S008-WAT-02,31,0.066,1389.7115246008332,390,288,2067.7115246008334,5.463424931151854,31.707188360601823,Q1-012
S008,B,S008-FOD-01;S008-HYG-01,14,0.063,1331.841747175703,360,210,1901.841747175703,2.589336252272207,35.26659369319483,Q1-013
S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25,0.067,928.4628643343575,390,240,1558.4628643343576,2.0962654017373348,47.59336495656663,Q1-014
S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25,0.067,925.4035197802173,390,240,1555.4035197802173,1.823216564231414,54.41958589421465,Q1-015
S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25,0.067,558.4247628605204,390,240,1188.4247628605203,1.0739366863951036,73.15158284012242,Q1-016
S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25,0.067,1292.8268141491867,390,240,1922.8268141491867,2.7525999542899324,31.185001142751688,Q1-017
S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25,0.067,880.5115887445249,390,240,1510.511588744525,1.8248281910807473,54.37929522298132,Q1-018
S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25,0.067,1239.7476752786915,390,240,1869.7476752786915,2.1402909781417883,46.49272554645529,Q1-019
S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25,0.067,1198.3275601736595,390,240,1828.3275601736595,2.3075285057525154,42.31178735618711,Q1-020
