reserve,site,model,max_payload_kg,reachable
0.25,S015,B,30.0,True
0.25,S015,C,78.45471512444294,True
0.3,S001,A,25.0,True
0.3,S001,B,30.0,True
0.3,S001,C,80.0,True
0.3,S002,A,25.0,True
0.3,S002,B,26.746493129193716,True
0.3,S002,C,52.952636343098604,True
0.3,S003,A,24.737813740045596,True
0.3,S003,B,25.42689468592763,True
0.3,S003,C,51.79519748857544,True
0.3,S004,A,20.170628302281827,True
0.3,S004,B,23.44259551847581,True
0.3,S004,C,44.74817180661307,True
0.3,S005,A,25.0,True
0.3,S005,B,30.0,True
0.3,S005,C,80.0,True
0.3,S006,A,25.0,True
0.3,S006,B,30.0,True
0.3,S006,C,80.0,True
0.3,S007,A,25.0,True
0.3,S007,B,30.0,True
0.3,S007,C,80.0,True
0.3,S008,A,14.213457411312017,True
0.3,S008,B,21.001054979100903,True
0.3,S008,C,36.81326273523489,True
0.3,S009,A,25.0,True
0.3,S009,B,30.0,True
0.3,S009,C,79.1539557437428,True
0.3,S010,A,25.0,True
0.3,S010,B,30.0,True
0.3,S010,C,80.0,True
0.3,S011,A,25.0,True
0.3,S011,B,30.0,True
0.3,S011,C,80.0,True
0.3,S012,A,25.0,True
0.3,S012,B,25.985288144925416,True
0.3,S012,C,51.75835756238893,True
0.3,S013,A,25.0,True
0.3,S013,B,30.0,True
0.3,S013,C,80.0,True
0.3,S014,A,25.0,True
0.3,S014,B,30.0,True
0.3,S014,C,79.90546938530694,True
0.3,S015,A,25.0,True
0.3,S015,B,30.0,True
0.3,S015,C,73.0078509499178,True
