sortie_id,relay_id,energy_component_id,hover_x_m,hover_y_m,hover_altitude_m,hover_lon,hover_lat,agl_m,prep_start_s,takeoff_s,service_start_s,service_end_s,return_s,flight_out_s,flight_back_s,service_duration_s,energy_kwh,return_soc,reserve_margin_kwh,calculated_return_s,calculated_flight_out_s,calculated_flight_back_s,validation_status
S01,R01,ERC-01,315675.158634,2550876.435495,920.210144,109.2008451,23.0562152,300.0,0.321898005,180.321898005,816.0,7834.5,8506.220613995,605.678101995,671.720613995,7018.5,2.484550413956175,0.2235779956386953,0.07544958604382535,8506.220613995443,605.6781019954426,671.7206139954426,PASS
S02,R02,ERC-02,322575.158634,2546026.435495,662.347198,109.26873,23.0131753,300.0,95.185475782,275.185475782,700.0,4706.0,5145.368457385,394.814524218,439.368457385,4006.0,1.4476055994689294,0.5476232501659596,1.112394400531071,5145.368457384781,394.81452421811446,439.36845738478115,PASS
S03,R02,ERC-03,314175.158634,2553526.435495,975.402405,109.1858887,23.0799743,300.0,5445.818633313,5625.818633313,6478.3,6902.0,7795.12323377,822.481366687,893.12323377,423.7,0.6040775795249463,0.8112257563984543,1.955922420475054,7795.123233770422,822.4813666870892,893.1232337704225,PASS
