time_s,trip_id,drone_id,mode,relay_id
403.0,T002,U05,direct,
403.0,T004,U06,direct,
403.0,T006,U01,direct,
403.0,T009,U02,direct,
403.0,T010,U03,direct,
403.0,T016,U04,direct,
404.0,T002,U05,direct,
404.0,T004,U06,direct,
404.0,T006,U01,direct,
404.0,T009,U02,direct,
404.0,T010,U03,direct,
404.0,T016,U04,direct,
405.0,T002,U05,direct,
405.0,T004,U06,direct,
405.0,T006,U01,direct,
405.0,T009,U02,direct,
405.0,T010,U03,direct,
405.0,T016,U04,direct,
406.0,T002,U05,direct,
406.0,T004,U06,direct,
406.0,T006,U01,direct,
406.0,T009,U02,direct,
406.0,T010,U03,direct,
406.0,T016,U04,direct,
407.0,T002,U05,direct,
407.0,T004,U06,direct,
407.0,T006,U01,direct,
407.0,T009,U02,direct,
407.0,T010,U03,direct,
407.0,T016,U04,direct,
408.0,T002,U05,direct,
408.0,T004,U06,direct,
408.0,T006,U01,direct,
408.0,T009,U02,direct,
408.0,T010,U03,direct,
408.0,T016,U04,direct,
409.0,T002,U05,direct,
409.0,T004,U06,direct,
409.0,T006,U01,direct,
409.0,T009,U02,direct,
409.0,T010,U03,direct,
409.0,T016,U04,direct,
410.0,T002,U05,direct,
410.0,T004,U06,direct,
410.0,T006,U01,direct,
410.0,T009,U02,direct,
410.0,T010,U03,direct,
410.0,T016,U04,direct,
411.0,T002,U05,direct,
411.0,T004,U06,direct,
411.0,T006,U01,direct,
411.0,T009,U02,direct,
411.0,T010,U03,direct,
411.0,T016,U04,direct,
412.0,T002,U05,direct,
412.0,T004,U06,direct,
412.0,T006,U01,direct,
412.0,T009,U02,direct,
412.0,T010,U03,direct,
412.0,T016,U04,direct,
413.0,T002,U05,direct,
413.0,T004,U06,direct,
413.0,T006,U01,direct,
413.0,T009,U02,direct,
413.0,T010,U03,direct,
413.0,T016,U04,direct,
414.0,T002,U05,direct,
414.0,T004,U06,direct,
414.0,T006,U01,direct,
414.0,T009,U02,direct,
414.0,T010,U03,direct,
414.0,T016,U04,direct,
415.0,T002,U05,direct,
415.0,T004,U06,direct,
415.0,T006,U01,direct,
415.0,T009,U02,direct,
415.0,T010,U03,direct,
415.0,T016,U04,direct,
416.0,T002,U05,direct,
416.0,T004,U06,direct,
416.0,T006,U01,direct,
416.0,T009,U02,direct,
416.0,T010,U03,direct,
416.0,T016,U04,direct,
417.0,T002,U05,direct,
417.0,T004,U06,direct,
417.0,T006,U01,direct,
417.0,T009,U02,direct,
417.0,T010,U03,direct,
417.0,T016,U04,direct,
418.0,T002,U05,direct,
418.0,T004,U06,direct,
418.0,T006,U01,direct,
418.0,T009,U02,direct,
418.0,T010,U03,direct,
418.0,T016,U04,direct,
419.0,T002,U05,direct,
419.0,T004,U06,direct,
419.0,T006,U01,direct,
419.0,T009,U02,direct,
419.0,T010,U03,direct,
419.0,T016,U04,direct,
420.0,T002,U05,direct,
420.0,T004,U06,direct,
420.0,T006,U01,direct,
420.0,T009,U02,direct,
420.0,T010,U03,direct,
420.0,T016,U04,direct,
421.0,T002,U05,direct,
421.0,T004,U06,direct,
421.0,T006,U01,direct,
421.0,T009,U02,direct,
421.0,T010,U03,direct,
421.0,T016,U04,direct,
422.0,T002,U05,direct,
422.0,T004,U06,direct,
422.0,T006,U01,direct,
422.0,T009,U02,direct,
422.0,T010,U03,direct,
422.0,T016,U04,direct,
423.0,T002,U05,direct,
423.0,T004,U06,direct,
423.0,T006,U01,direct,
423.0,T009,U02,direct,
423.0,T010,U03,direct,
423.0,T016,U04,direct,
424.0,T002,U05,direct,
424.0,T004,U06,direct,
424.0,T006,U01,direct,
424.0,T009,U02,direct,
424.0,T010,U03,direct,
424.0,T016,U04,direct,
425.0,T002,U05,direct,
425.0,T004,U06,direct,
425.0,T006,U01,direct,
425.0,T009,U02,direct,
425.0,T010,U03,direct,
425.0,T016,U04,direct,
426.0,T002,U05,direct,
426.0,T004,U06,direct,
426.0,T006,U01,direct,
426.0,T009,U02,direct,
426.0,T010,U03,direct,
426.0,T016,U04,direct,
427.0,T002,U05,direct,
427.0,T004,U06,direct,
427.0,T006,U01,direct,
427.0,T009,U02,direct,
427.0,T010,U03,direct,
427.0,T016,U04,direct,
428.0,T002,U05,direct,
428.0,T004,U06,direct,
428.0,T006,U01,direct,
428.0,T009,U02,direct,
428.0,T010,U03,direct,
428.0,T016,U04,direct,
429.0,T002,U05,direct,
429.0,T004,U06,direct,
429.0,T006,U01,direct,
429.0,T009,U02,direct,
429.0,T010,U03,direct,
429.0,T016,U04,direct,
430.0,T002,U05,direct,
430.0,T004,U06,direct,
430.0,T006,U01,direct,
430.0,T009,U02,direct,
430.0,T010,U03,direct,
430.0,T016,U04,direct,
431.0,T002,U05,direct,
431.0,T004,U06,direct,
431.0,T006,U01,direct,
431.0,T009,U02,direct,
431.0,T010,U03,direct,
431.0,T016,U04,direct,
432.0,T002,U05,direct,
432.0,T004,U06,direct,
432.0,T006,U01,direct,
432.0,T009,U02,direct,
432.0,T010,U03,direct,
432.0,T016,U04,direct,
433.0,T002,U05,direct,
433.0,T004,U06,direct,
433.0,T006,U01,direct,
433.0,T009,U02,direct,
433.0,T010,U03,direct,
433.0,T016,U04,direct,
434.0,T002,U05,direct,
434.0,T004,U06,direct,
434.0,T006,U01,direct,
434.0,T009,U02,direct,
434.0,T010,U03,direct,
434.0,T016,U04,direct,
435.0,T002,U05,direct,
435.0,T004,U06,direct,
435.0,T006,U01,direct,
435.0,T009,U02,direct,
435.0,T010,U03,direct,
435.0,T016,U04,direct,
436.0,T002,U05,direct,
436.0,T004,U06,direct,
436.0,T006,U01,direct,
436.0,T009,U02,direct,
436.0,T010,U03,direct,
436.0,T016,U04,direct,
437.0,T002,U05,direct,
437.0,T004,U06,direct,
437.0,T006,U01,direct,
437.0,T009,U02,direct,
437.0,T010,U03,direct,
437.0,T016,U04,direct,
438.0,T002,U05,direct,
438.0,T004,U06,direct,
438.0,T006,U01,direct,
438.0,T009,U02,direct,
438.0,T010,U03,direct,
438.0,T016,U04,direct,
439.0,T002,U05,direct,
439.0,T004,U06,direct,
439.0,T006,U01,direct,
439.0,T009,U02,direct,
439.0,T010,U03,direct,
439.0,T016,U04,direct,
440.0,T002,U05,direct,
440.0,T004,U06,direct,
440.0,T006,U01,direct,
440.0,T009,U02,direct,
440.0,T010,U03,direct,
440.0,T016,U04,direct,
441.0,T002,U05,direct,
441.0,T004,U06,direct,
441.0,T006,U01,direct,
441.0,T009,U02,direct,
441.0,T010,U03,direct,
441.0,T016,U04,direct,
442.0,T002,U05,direct,
442.0,T004,U06,direct,
442.0,T006,U01,direct,
442.0,T009,U02,direct,
442.0,T010,U03,direct,
442.0,T016,U04,direct,
443.0,T002,U05,direct,
