sortie_id,relay_id,energy_component_id,hover_x_m,hover_y_m,hover_altitude_m,hover_lon,hover_lat,agl_m,prep_start_s,takeoff_s,service_start_s,service_end_s,return_s,flight_out_s,flight_back_s,service_duration_s,energy_kwh,return_soc
S01,R01,ERC-01,315675.158634,2550876.435495,920.210144,109.2008451,23.0562152,300.0,0.3,180.3,816.0,7834.5,8440.2,605.7,605.7,7018.5,2.545846,0.204423125
S02,R02,ERC-02,322575.158634,2546026.435495,662.347198,109.26873,23.0131753,300.0,140.2,320.2,745.0,4751.0,5145.8,394.8,394.8,4006.0,1.485975,0.535632813
S03,R02,ERC-03,314175.158634,2553526.435495,975.402405,109.1858887,23.0799743,300.0,5445.8,5625.8,6478.3,6902.0,7724.5,822.5,822.5,423.7,0.670281,0.790537188
