time_s,trip_id,drone_id,x_m,y_m,z_m,phase,flight_phase,direct_ok,R01_serving,R01_access,R01_backhaul,R02_serving,R02_access,R02_backhaul,reason
4213.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4214.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4215.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4216.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4217.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4218.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4219.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4220.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4221.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4222.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4223.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4224.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4225.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4226.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4227.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4228.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4229.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4230.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4231.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4232.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4233.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4234.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
4235.392351884103,T011,U07,319529.0,2553224.7,228.3,handover,handover,False,True,False,True,True,False,True,direct_fail;R01_access_fail;R02_access_fail
