time_s,trip_id,drone_id,x,y,altitude_m,phase,connected,mode,reason
445.0,T002,U05,318686.201,2545556.139,292.7,ascent,1,direct,
445.0,T004,U06,318686.201,2545556.139,292.7,ascent,1,direct,
445.0,T006,U01,318686.201,2545556.139,382.7,ascent,1,direct,
445.0,T009,U02,318686.201,2545556.139,382.7,ascent,1,direct,
445.0,T010,U03,318677.671,2545594.362,372.909,cruise,1,direct,
445.0,T016,U04,318873.235,2545952.832,273.057,cruise,1,direct,
450.0,T001,U07,318686.201,2545556.139,127.7,ascent,1,direct,
450.0,T002,U05,318686.201,2545556.139,307.7,ascent,1,direct,
450.0,T003,U08,318686.201,2545556.139,127.7,ascent,1,direct,
450.0,T004,U06,318686.201,2545556.139,307.7,ascent,1,direct,
450.0,T006,U01,318686.201,2545556.139,397.7,ascent,1,direct,
450.0,T009,U02,318686.201,2545556.139,397.7,ascent,1,direct,
450.0,T010,U03,318664.601,2545652.921,372.909,cruise,1,direct,
450.0,T016,U04,318898.822,2546007.103,273.057,cruise,1,direct,
455.0,T001,U07,318686.201,2545556.139,140.2,ascent,1,direct,
455.0,T002,U05,318686.201,2545556.139,322.7,ascent,1,direct,
455.0,T003,U08,318686.201,2545556.139,140.2,ascent,1,direct,
455.0,T004,U06,318686.201,2545556.139,322.7,ascent,1,direct,
455.0,T006,U01,318686.201,2545556.139,412.7,ascent,1,direct,
455.0,T009,U02,318686.201,2545556.139,412.7,ascent,1,direct,
455.0,T010,U03,318651.531,2545711.48,372.909,cruise,1,direct,
455.0,T016,U04,318924.41,2546061.373,273.057,cruise,1,direct,
460.0,T001,U07,318686.201,2545556.139,152.7,ascent,1,direct,
460.0,T002,U05,318686.201,2545556.139,337.7,ascent,1,direct,
460.0,T003,U08,318686.201,2545556.139,152.7,ascent,1,direct,
460.0,T004,U06,318686.201,2545556.139,337.7,ascent,1,direct,
460.0,T006,U01,318686.201,2545556.139,427.7,ascent,1,direct,
460.0,T009,U02,318686.201,2545556.139,427.7,ascent,1,direct,
460.0,T010,U03,318638.462,2545770.039,372.909,cruise,1,direct,
