time_s,trip_id,drone_id,x,y,lon,lat,altitude_m,phase
430.0,T016,U04,318796.472,2545790.021,109.2318997,23.0106333,273.057,cruise
435.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,262.7,ascent
435.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,262.7,ascent
435.0,T006,U01,318686.201,2545556.139,109.2308517,23.0085095,352.7,ascent
435.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,352.7,ascent
435.0,T010,U03,318686.201,2545556.139,109.2308517,23.0085095,352.7,ascent
435.0,T016,U04,318822.06,2545844.291,109.2321429,23.0111261,273.057,cruise
440.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,277.7,ascent
440.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,277.7,ascent
440.0,T006,U01,318686.201,2545556.139,109.2308517,23.0085095,367.7,ascent
440.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,367.7,ascent
440.0,T010,U03,318686.201,2545556.139,109.2308517,23.0085095,367.7,ascent
440.0,T016,U04,318847.647,2545898.562,109.2323861,23.0116189,273.057,cruise
445.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,292.7,ascent
445.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,292.7,ascent
445.0,T006,U01,318686.201,2545556.139,109.2308517,23.0085095,382.7,ascent
445.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,382.7,ascent
445.0,T010,U03,318677.671,2545594.362,109.230764,23.0088537,372.909,cruise
445.0,T016,U04,318873.235,2545952.832,109.2326293,23.0121117,273.057,cruise
450.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,127.7,ascent
450.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,307.7,ascent
450.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,127.7,ascent
450.0,T004,U06,318686.201,2545556.139,109.2308517,23.0085095,307.7,ascent
450.0,T006,U01,318686.201,2545556.139,109.2308517,23.0085095,397.7,ascent
450.0,T009,U02,318686.201,2545556.139,109.2308517,23.0085095,397.7,ascent
450.0,T010,U03,318664.601,2545652.921,109.2306296,23.009381,372.909,cruise
450.0,T016,U04,318898.822,2546007.103,109.2328725,23.0126045,273.057,cruise
455.0,T001,U07,318686.201,2545556.139,109.2308517,23.0085095,140.2,ascent
455.0,T002,U05,318686.201,2545556.139,109.2308517,23.0085095,322.7,ascent
455.0,T003,U08,318686.201,2545556.139,109.2308517,23.0085095,140.2,ascent
