time_step_s,los_spacing_m,total_samples,uncovered_samples,coverage,outage_sample_seconds,interruption_count,longest_outage_sample_seconds,backhaul,status
0.5,10.0,72690,0,1.0,0.0,0,0,"{'S01': True, 'S02': True, 'S03': True}",PASS
0.25,10.0,145366,0,1.0,0.0,0,0,"{'S01': True, 'S02': True, 'S03': True}",PASS
