time_s,trip_id,drone_id,mode,relay_id
648.0,T001,U07,direct,
649.0,T001,U07,direct,
650.0,T001,U07,direct,
651.0,T001,U07,direct,
652.0,T001,U07,direct,
653.0,T001,U07,direct,
654.0,T001,U07,direct,
655.0,T001,U07,direct,
656.0,T001,U07,direct,
657.0,T001,U07,direct,
658.0,T001,U07,direct,
659.0,T001,U07,direct,
660.0,T001,U07,direct,
661.0,T001,U07,direct,
662.0,T001,U07,direct,
663.0,T001,U07,direct,
664.0,T001,U07,direct,
665.0,T001,U07,direct,
666.0,T001,U07,direct,
667.0,T001,U07,direct,
668.0,T001,U07,direct,
669.0,T001,U07,direct,
670.0,T001,U07,direct,
671.0,T001,U07,direct,
672.0,T001,U07,direct,
673.0,T001,U07,direct,
674.0,T001,U07,direct,
675.0,T001,U07,direct,
676.0,T001,U07,direct,
677.0,T001,U07,direct,
678.0,T001,U07,direct,
679.0,T001,U07,direct,
680.0,T001,U07,direct,
681.0,T001,U07,direct,
682.0,T001,U07,direct,
683.0,T001,U07,direct,
684.0,T001,U07,direct,
685.0,T001,U07,direct,
686.0,T001,U07,direct,
687.0,T001,U07,direct,
688.0,T001,U07,direct,
689.0,T001,U07,direct,
690.0,T001,U07,direct,
691.0,T001,U07,direct,
692.0,T001,U07,direct,
693.0,T001,U07,direct,
694.0,T001,U07,direct,
695.0,T001,U07,direct,
696.0,T001,U07,direct,
697.0,T001,U07,direct,
698.0,T001,U07,direct,
699.0,T001,U07,direct,
700.0,T001,U07,direct,
701.0,T001,U07,direct,
702.0,T001,U07,direct,
703.0,T001,U07,direct,
704.0,T001,U07,direct,
705.0,T001,U07,direct,
706.0,T001,U07,direct,
707.0,T001,U07,direct,
708.0,T001,U07,direct,
709.0,T001,U07,direct,
710.0,T001,U07,direct,
711.0,T001,U07,direct,
712.0,T001,U07,direct,
713.0,T001,U07,direct,
714.0,T001,U07,direct,
715.0,T001,U07,direct,
716.0,T001,U07,direct,
717.0,T001,U07,direct,
718.0,T001,U07,direct,
719.0,T001,U07,direct,
720.0,T001,U07,direct,
721.0,T001,U07,direct,
722.0,T001,U07,direct,
723.0,T001,U07,direct,
724.0,T001,U07,direct,
725.0,T001,U07,direct,
726.0,T001,U07,direct,
727.0,T001,U07,direct,
728.0,T001,U07,direct,
729.0,T001,U07,direct,
730.0,T001,U07,direct,
731.0,T001,U07,direct,
732.0,T001,U07,direct,
733.0,T001,U07,direct,
734.0,T001,U07,direct,
735.0,T001,U07,direct,
736.0,T001,U07,direct,
737.0,T001,U07,direct,
738.0,T001,U07,direct,
739.0,T001,U07,direct,
740.0,T001,U07,direct,
741.0,T001,U07,direct,
742.0,T001,U07,direct,
743.0,T001,U07,direct,
744.0,T001,U07,direct,
745.0,T001,U07,direct,
746.0,T001,U07,direct,
747.0,T001,U07,direct,
748.0,T001,U07,direct,
749.0,T001,U07,direct,
750.0,T001,U07,direct,
751.0,T001,U07,direct,
752.0,T001,U07,direct,
753.0,T001,U07,direct,
754.0,T001,U07,direct,
755.0,T001,U07,direct,
756.0,T001,U07,direct,
757.0,T001,U07,direct,
758.0,T001,U07,direct,
759.0,T001,U07,direct,
760.0,T001,U07,direct,
761.0,T001,U07,direct,
762.0,T001,U07,direct,
763.0,T001,U07,direct,
764.0,T001,U07,direct,
765.0,T001,U07,direct,
766.0,T001,U07,direct,
767.0,T001,U07,direct,
768.0,T001,U07,direct,
769.0,T001,U07,direct,
770.0,T001,U07,direct,
771.0,T001,U07,direct,
772.0,T001,U07,direct,
773.0,T001,U07,direct,
774.0,T001,U07,direct,
775.0,T001,U07,direct,
776.0,T001,U07,direct,
777.0,T001,U07,direct,
778.0,T001,U07,direct,
779.0,T001,U07,direct,
780.0,T001,U07,direct,
781.0,T001,U07,direct,
782.0,T001,U07,direct,
783.0,T001,U07,direct,
784.0,T001,U07,direct,
785.0,T001,U07,direct,
786.0,T001,U07,direct,
787.0,T001,U07,direct,
788.0,T001,U07,direct,
789.0,T001,U07,direct,
790.0,T001,U07,direct,
791.0,T001,U07,direct,
792.0,T001,U07,direct,
793.0,T001,U07,direct,
794.0,T001,U07,direct,
795.0,T001,U07,direct,
796.0,T001,U07,direct,
797.0,T001,U07,direct,
798.0,T001,U07,direct,
799.0,T001,U07,direct,
800.0,T001,U07,direct,
801.0,T001,U07,direct,
802.0,T001,U07,direct,
803.0,T001,U07,direct,
804.0,T001,U07,direct,
805.0,T001,U07,direct,
806.0,T001,U07,direct,
807.0,T001,U07,direct,
808.0,T001,U07,direct,
809.0,T001,U07,direct,
810.0,T001,U07,direct,
811.0,T001,U07,direct,
812.0,T001,U07,direct,
813.0,T001,U07,direct,
814.0,T001,U07,direct,
815.0,T001,U07,direct,
816.0,T001,U07,direct,
817.0,T001,U07,direct,
818.0,T001,U07,direct,
819.0,T001,U07,direct,
820.0,T001,U07,direct,
821.0,T001,U07,direct,
822.0,T001,U07,direct,
823.0,T001,U07,direct,
824.0,T001,U07,direct,
825.0,T001,U07,direct,
826.0,T001,U07,direct,
827.0,T001,U07,direct,
828.0,T001,U07,direct,
829.0,T001,U07,direct,
830.0,T001,U07,direct,
831.0,T001,U07,direct,
832.0,T001,U07,direct,
833.0,T001,U07,direct,
834.0,T001,U07,direct,
835.0,T001,U07,direct,
836.0,T001,U07,direct,
837.0,T001,U07,direct,
838.0,T001,U07,direct,
839.0,T001,U07,direct,
840.0,T001,U07,direct,
841.0,T001,U07,direct,
842.0,T001,U07,direct,
843.0,T001,U07,direct,
844.0,T001,U07,direct,
845.0,T001,U07,direct,
846.0,T001,U07,direct,
847.0,T001,U07,direct,
848.0,T001,U07,direct,
849.0,T001,U07,direct,
850.0,T001,U07,direct,
851.0,T001,U07,direct,
852.0,T001,U07,direct,
853.0,T001,U07,direct,
854.0,T001,U07,direct,
855.0,T001,U07,direct,
856.0,T001,U07,direct,
857.0,T001,U07,direct,
858.0,T001,U07,direct,
859.0,T001,U07,direct,
860.0,T001,U07,direct,
861.0,T001,U07,direct,
862.0,T001,U07,direct,
863.0,T001,U07,direct,
864.0,T001,U07,direct,
865.0,T001,U07,direct,
866.0,T001,U07,direct,
867.0,T001,U07,direct,
868.0,T001,U07,direct,
869.0,T001,U07,direct,
870.0,T001,U07,direct,
871.0,T001,U07,direct,
872.0,T001,U07,direct,
873.0,T001,U07,direct,
874.0,T001,U07,direct,
875.0,T001,U07,direct,
876.0,T001,U07,direct,
877.0,T001,U07,direct,
878.0,T001,U07,direct,
879.0,T001,U07,direct,
880.0,T001,U07,direct,
881.0,T001,U07,direct,
882.0,T001,U07,direct,
883.0,T001,U07,direct,
884.0,T001,U07,direct,
885.0,T001,U07,direct,
886.0,T001,U07,direct,
887.0,T001,U07,direct,
888.0,T001,U07,direct,
889.0,T001,U07,direct,
890.0,T001,U07,direct,
891.0,T001,U07,direct,
892.0,T001,U07,direct,
893.0,T001,U07,direct,
894.0,T001,U07,direct,
895.0,T001,U07,direct,
896.0,T001,U07,direct,
897.0,T001,U07,direct,
898.0,T001,U07,direct,
899.0,T001,U07,direct,
900.0,T001,U07,direct,
901.0,T001,U07,direct,
902.0,T001,U07,direct,
903.0,T001,U07,direct,
904.0,T001,U07,direct,
905.0,T001,U07,direct,
906.0,T001,U07,direct,
907.0,T001,U07,direct,
908.0,T001,U07,direct,
909.0,T001,U07,direct,
910.0,T001,U07,direct,
911.0,T001,U07,direct,
912.0,T001,U07,direct,
913.0,T001,U07,direct,
914.0,T001,U07,direct,
915.0,T001,U07,direct,
916.0,T001,U07,direct,
917.0,T001,U07,direct,
918.0,T001,U07,direct,
919.0,T001,U07,direct,
920.0,T001,U07,direct,
921.0,T001,U07,direct,
922.0,T001,U07,direct,
923.0,T001,U07,direct,
924.0,T001,U07,direct,
925.0,T001,U07,direct,
926.0,T001,U07,direct,
927.0,T001,U07,direct,
928.0,T001,U07,direct,
929.0,T001,U07,direct,
930.0,T001,U07,direct,
931.0,T001,U07,direct,
932.0,T001,U07,direct,
933.0,T001,U07,direct,
934.0,T001,U07,direct,
935.0,T001,U07,direct,
936.0,T001,U07,direct,
937.0,T001,U07,direct,
938.0,T001,U07,direct,
939.0,T001,U07,direct,
940.0,T001,U07,direct,
941.0,T001,U07,direct,
942.0,T001,U07,direct,
943.0,T001,U07,direct,
944.0,T001,U07,direct,
945.0,T001,U07,direct,
946.0,T001,U07,direct,
947.0,T001,U07,direct,
948.0,T001,U07,direct,
949.0,T001,U07,direct,
950.0,T001,U07,direct,
951.0,T001,U07,direct,
952.0,T001,U07,direct,
953.0,T001,U07,direct,
954.0,T001,U07,direct,
955.0,T001,U07,direct,
956.0,T001,U07,direct,
957.0,T001,U07,direct,
958.0,T001,U07,direct,
959.0,T001,U07,direct,
960.0,T001,U07,direct,
961.0,T001,U07,direct,
