reserve,priority,feasible,infeasible_sites,trips,energy_kwh,operation_s,flight_s
0.1,时间_架次_能耗,True,,18,59.130796486658255,32776.09267694372,19288.09267694372
0.15,时间_架次_能耗,True,,18,59.130796486658255,32776.09267694372,19288.09267694372
0.2,时间_架次_能耗,True,,18,59.130796486658255,32776.09267694372,19288.09267694372
0.25,时间_架次_能耗,True,,19,61.16420277947536,34559.740688117025,20639.740688117025
0.3,时间_架次_能耗,True,,20,67.22708633206148,36586.26912606206,22126.269126062063
0.2,架次_能耗_时间,True,,18,59.130796486658255,32776.09267694372,19288.09267694372
0.2,架次_时间_能耗,True,,18,59.130796486658255,32776.09267694372,19288.09267694372
0.2,能耗_架次_时间,True,,19,59.03341380679974,34440.065206685635,20562.065206685635
